Country Name;Country Code;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Guyana;GUY;6;6;6;6;6;6;6;6;6;6;6;6;6
High income;HIC;;;;;;;;;;;;;
Hong Kong SAR; China;6;6;6;6;6;6;6;6;6;6;6;6;6
Honduras;HND;6;6;6;6;6;6;6;6;6;6;6;6;6
Heavily indebted poor countries (HIPC);HPC;;;;;;;;;;;;;
Croatia;HRV;7;7;7;7;7;7;7;7;7;7;7;7;7
Haiti;HTI;6;6;6;6;6;6;6;6;6;6;6;6;6
Hungary;HUN;7;7;7;7;7;7;7;7;7;7;7;7;7
IBRD only;IBD;;;;;;;;;;;;;
IDA & IBRD total;IBT;;;;;;;;;;;;;
IDA total;IDA;;;;;;;;;;;;;
IDA blend;IDB;;;;;;;;;;;;;
Indonesia;IDN;7;7;7;7;7;7;7;7;7;7;7;7;7
IDA only;IDX;;;;;;;;;;;;;
Isle of Man;IMN;;;;;;;;;;;;;
India;IND;;;;6;6;6;6;6;6;6;6;6;6
Not classified;INX;;;;;;;;;;;;;
Ireland;IRL;;;;;;;;;;;5;5;5
Iran; Islamic Rep.;6;6;6;6;6;6;6;6;6;6;6;6;6
Iraq;IRQ;6;6;6;6;6;6;6;6;6;6;6;6;6
Iceland;ISL;6;6;6;6;6;6;6;6;6;6;6;6;6
Israel;ISR;6;6;6;6;6;6;6;6;6;6;6;6;6
Italy;ITA;6;6;6;6;6;6;6;6;6;6;6;6;6
Jamaica;JAM;6;6;6;6;6;6;6;6;6;6;6;6;6
Jordan;JOR;6;6;6;6;6;6;6;6;6;6;6;6;6
Japan;JPN;6;6;6;6;6;6;6;6;6;6;6;;6
Kazakhstan;KAZ;7;7;7;7;7;7;7;7;7;7;6;6;6
Kenya;KEN;6;6;6;6;6;6;6;6;6;6;6;6;6
Kyrgyz Republic;KGZ;7;7;7;7;7;7;7;7;7;7;7;7;7
Cambodia;KHM;6;6;6;6;6;6;6;6;6;6;6;6;6
Kiribati;KIR;6;6;6;6;6;6;6;6;6;6;6;6;6
St. Kitts and Nevis;KNA;5;5;5;5;5;5;5;5;5;5;5;5;5
Korea; Rep.;6;6;6;6;6;6;6;6;6;6;6;6;6
Kuwait;KWT;6;6;6;6;6;6;6;6;6;6;6;6;6
Latin America & Caribbean (excluding high income);LAC;;;;;;;;;;;;;
Lao PDR;LAO;6;6;6;6;6;6;6;6;6;6;6;6;6
Lebanon;LBN;6;6;6;6;6;6;6;6;6;6;6;6;6
Liberia;LBR;6;6;6;6;6;6;6;6;6;6;6;6;6
Libya;LBY;6;6;6;6;6;6;6;6;6;6;6;6;6
St. Lucia;LCA;5;5;5;5;5;5;5;5;5;5;5;5;5
Latin America & Caribbean;LCN;;;;;;;;;;;;;
Least developed countries: UN classification;LDC;;;;;;;;;;;;;
Low income;LIC;;;;;;;;;;;;;
Liechtenstein;LIE;7;7;7;7;7;7;7;7;7;7;7;7;7
Sri Lanka;LKA;5;5;5;5;5;5;5;5;5;5;5;5;5
Lower middle income;LMC;;;;;;;;;;;;;
Low & middle income;LMY;;;;;;;;;;;;;
Lesotho;LSO;6;6;6;6;6;6;6;6;6;6;6;6;6
Late-demographic dividend;LTE;;;;;;;;;;;;;
Lithuania;LTU;7;7;7;7;7;7;7;7;7;7;7;7;7
Luxembourg;LUX;6;6;6;6;6;6;6;6;6;6;6;6;6
Latvia;LVA;7;7;7;7;7;7;7;7;7;7;7;7;7
Macao SAR; China;6;6;6;6;6;6;6;6;6;6;6;6;6
St. Martin (French part);MAF;;;;;;;;;;;;;
Morocco;MAR;6;6;6;6;6;6;6;6;6;6;6;6;6
Monaco;MCO;6;6;6;6;6;6;6;6;6;6;6;6;6
Moldova;MDA;7;7;7;7;7;7;7;7;7;7;7;7;7
Madagascar;MDG;6;6;6;6;6;6;6;6;6;6;6;6;6
Maldives;MDV;6;6;6;6;6;6;6;6;6;6;6;6;6
Middle East & North Africa;MEA;;;;;;;;;;;;;
Mexico;MEX;6;6;6;6;6;6;6;6;6;6;6;6;6
Marshall Islands;MHL;6;6;6;6;6;6;6;6;6;6;6;6;6
Middle income;MIC;;;;;;;;;;;;;
North Macedonia;MKD;6;6;6;6;6;6;6;6;6;6;6;6;6
Mali;MLI;7;7;7;7;7;7;7;7;7;7;7;7;7
Malta;MLT;5;5;5;5;5;5;5;5;5;5;5;5;5
Myanmar;MMR;5;5;5;5;5;5;5;5;5;5;5;5;5
Middle East & North Africa (excluding high income);MNA;;;;;;;;;;;;;
Montenegro;MNE;7;6;6;6;6;6;6;6;6;6;6;6;6
Mongolia;MNG;6;6;6;6;6;6;6;6;6;6;6;6;6
Northern Mariana Islands;MNP;;;;;;;;;;;;;
Mozambique;MOZ;6;6;6;6;6;6;6;6;6;6;6;6;6
Mauritania;MRT;6;6;6;6;6;6;6;6;6;6;6;6;6
Mauritius;MUS;5;5;5;5;5;5;5;5;5;5;5;5;5
Malawi;MWI;6;6;6;6;6;6;6;6;6;6;6;6;6
Malaysia;MYS;6;6;6;6;6;6;6;6;6;6;6;6;6
North America;NAC;;;;;;;;;;;;;
Namibia;NAM;7;7;7;7;7;7;7;7;7;7;7;7;7
New Caledonia;NCL;6;6;6;6;6;6;6;6;6;6;6;6;6
Niger;NER;7;7;7;7;7;7;7;7;7;7;7;7;7
Nigeria;NGA;6;6;6;6;6;6;6;6;6;6;6;6;6
Nicaragua;NIC;6;6;6;6;6;6;6;6;6;6;6;6;6
Netherlands;NLD;6;6;6;6;6;6;6;6;6;6;6;6;6
Norway;NOR;6;6;6;6;6;6;6;6;6;6;6;6;6
Nepal;NPL;5;5;5;5;5;5;5;5;5;5;5;5;5
Nauru;NRU;6;6;6;6;6;6;6;6;6;6;6;6;6
New Zealand;NZL;5;5;5;5;5;5;5;5;5;5;5;5;5
OECD members;OED;;;;;;;;;;;;;
Oman;OMN;6;6;6;6;6;6;6;6;6;6;6;6;6
Other small states;OSS;;;;;;;;;;;;;
Pakistan;PAK;5;5;5;5;5;5;5;5;5;5;5;5;5
Panama;PAN;6;6;6;6;6;6;6;6;6;6;6;6;6
Peru;PER;6;6;6;6;6;6;6;6;6;6;6;6;6
Philippines;PHL;6;6;6;6;6;6;6;6;6;6;6;6;6
Palau;PLW;6;6;6;6;6;6;6;6;6;6;6;6;6
Papua New Guinea;PNG;7;7;7;7;7;7;7;7;7;7;7;7;7
Poland;POL;7;7;7;7;7;7;7;7;7;7;7;7;7
Pre-demographic dividend;PRE;;;;;;;;;;;;;
Puerto Rico;PRI;6;6;6;6;6;6;6;6;6;6;6;6;6
Korea; Dem. People's Rep.;7;7;7;7;7;7;7;7;7;7;7;7;7
Portugal;PRT;6;6;6;6;6;6;6;6;6;6;6;6;6
Paraguay;PRY;6;6;6;6;6;6;6;6;6;6;6;6;6
West Bank and Gaza;PSE;6;6;6;6;6;6;6;6;6;6;6;6;6
Pacific island small states;PSS;;;;;;;;;;;;;
Post-demographic dividend;PST;;;;;;;;;;;;;
French Polynesia;PYF;;;;;;;;6;6;6;6;6;6
Qatar;QAT;6;6;6;6;6;6;6;6;6;6;6;6;6
Romania;ROU;7;7;7;6;6;6;6;6;6;6;6;6;6
Russian Federation;RUS;7;7;7;7;7;7;7;7;7;7;7;7;7
Rwanda;RWA;7;7;7;7;7;7;7;7;7;7;7;7;6
South Asia;SAS;;;;;;;;;;;;;
Saudi Arabia;SAU;6;6;6;6;6;6;6;6;6;6;6;6;6
Sudan;SDN;6;6;6;6;6;6;6;6;6;6;6;6;6
Senegal;SEN;6;6;6;6;6;6;6;6;6;6;6;6;6
Singapore;SGP;6;6;6;6;6;6;6;6;6;6;6;6;6
Solomon Islands;SLB;6;6;6;6;6;6;6;6;6;6;6;6;6
Sierra Leone;SLE;6;6;6;6;6;6;6;6;6;6;6;6;6
El Salvador;SLV;7;7;7;7;7;7;7;7;7;7;7;7;7
San Marino;SMR;6;6;6;6;6;6;6;6;6;6;6;6;6
Somalia;SOM;6;6;6;6;6;6;6;6;6;6;6;6;6
Serbia;SRB;7;7;7;7;7;7;7;7;7;7;7;7;7
Sub-Saharan Africa (excluding high income);SSA;;;;;;;;;;;;;
South Sudan;SSD;6;6;6;6;6;6;6;6;6;6;6;6;6
Sub-Saharan Africa;SSF;;;;;;;;;;;;;
Small states;SST;;;;;;;;;;;;;
Sao Tome and Principe;STP;6;6;6;6;6;6;6;6;6;6;6;6;6
Suriname;SUR;6;6;6;6;6;6;6;6;6;6;6;6;6
Slovak Republic;SVK;6;6;6;6;6;6;6;6;6;6;6;6;6
Slovenia;SVN;6;6;6;6;6;6;6;6;6;6;6;6;6
Sweden;SWE;7;7;7;7;7;7;7;7;7;7;7;7;7
Eswatini;SWZ;6;6;6;6;6;6;6;6;6;6;6;6;6
Sint Maarten (Dutch part);SXM;6;6;6;6;6;6;6;6;6;6;6;6;6
Seychelles;SYC;6;6;6;6;6;6;6;6;6;6;6;6;6
Syrian Arab Republic;SYR;6;6;6;6;6;6;6;6;6;6;6;6;6
Turks and Caicos Islands;TCA;6;6;6;6;6;6;6;6;6;6;6;6;6
Chad;TCD;6;6;6;6;6;6;6;6;6;6;6;6;6
East Asia & Pacific (IDA & IBRD countries);TEA;;;;;;;;;;;;;
Europe & Central Asia (IDA & IBRD countries);TEC;;;;;;;;;;;;;
Togo;TGO;6;6;6;6;6;6;6;6;6;6;6;6;6
Thailand;THA;6;6;6;6;6;6;6;6;6;6;6;6;6
Tajikistan;TJK;7;7;7;7;7;7;7;7;7;7;7;7;7
Turkmenistan;TKM;7;7;7;7;6;6;6;6;6;6;6;6;6
Latin America & the Caribbean (IDA & IBRD countries);TLA;;;;;;;;;;;;;
Timor-Leste;TLS;6;6;6;6;6;6;6;6;6;6;6;6;6
Middle East & North Africa (IDA & IBRD countries);TMN;;;;;;;;;;;;;
Tonga;TON;5;5;6;6;6;6;6;6;6;6;6;6;6
South Asia (IDA & IBRD);TSA;;;;;;;;;;;;;
Sub-Saharan Africa (IDA & IBRD countries);TSS;;;;;;;;;;;;;
Trinidad and Tobago;TTO;5;5;5;5;5;5;5;5;5;5;5;5;5
Tunisia;TUN;6;6;6;6;6;6;6;6;6;6;6;6;6
Turkiye;TUR;6;6;6;6;6;6;6;6;6;6;6;6;6
Tuvalu;TUV;6;6;6;6;6;6;6;6;6;6;6;6;6
Tanzania;TZA;7;7;7;7;7;7;7;7;7;7;7;7;7
Uganda;UGA;6;6;6;6;6;6;6;6;6;6;6;6;6
Ukraine;UKR;6;6;6;6;6;6;6;6;6;6;6;6;6
Upper middle income;UMC;;;;;;;;;;;;;
Uruguay;URY;6;6;6;6;6;6;6;6;6;6;6;6;6
United States;USA;6;6;6;6;6;6;6;6;6;6;6;6;6
Uzbekistan;UZB;7;7;7;7;7;7;7;7;7;7;7;7;7
St. Vincent and the Grenadines;VCT;5;5;5;5;5;5;5;5;5;5;5;5;5
Venezuela; RB;6;6;6;6;6;6;6;6;6;6;6;6;6
British Virgin Islands;VGB;5;5;5;5;5;5;5;5;5;5;5;5;5
Virgin Islands (U.S.);VIR;6;6;6;6;6;6;6;6;6;6;6;6;6
Viet Nam;VNM;6;6;6;6;6;6;6;6;6;6;6;6;6
Vanuatu;VUT;6;6;6;6;6;6;6;6;6;6;6;6;6
World;WLD;;;;;;;;;;;;;
Samoa;WSM;5;5;5;5;5;5;5;5;5;5;5;5;5
Kosovo;XKX;;;;;;;;;;;;;
Yemen; Rep.;6;6;6;6;6;6;6;6;6;6;6;6;6
South Africa;ZAF;7;7;7;7;7;7;7;7;7;7;7;7;7
Zambia;ZMB;7;7;7;7;7;7;7;7;7;7;7;7;7
Zimbabwe;ZWE;6;6;6;6;6;6;6;6;6;6;6;6;6
