DHSID,HV007: year of interview,HV000: country code,Female Education PCA,Female Education PCA (min-max-scaled),EDI,EDI (min-max-scaled),EDI (UNESCO),EDI (UNESCO) (min-max-scaled),Imputed,households,DHSYEAR,URBAN_RURA,LATNUM,LONGNUM,GEID,adm2_name,adm1_name,adm0_name,ISO3,TIF_name,MEAN_AGE,STD_AGE
TZ201500000003,2015,TZ,1.1866149759567892,0.5493701072843675,0.5153594771241831,0.5319077172153265,,,False,95.0,2015.0,U,-4.903511,35.770286,TZGE7AFL,Kondoa,Dodoma,Tanzania,TZA,TZGE7AFL00000003.tif,22.404255319148938,17.783308703813645
ZW201500000003,2015,ZW,3.1331542927541967,0.7172518111213328,0.6957115009746588,0.7180508610976983,0.702,0.9026162790697673,False,101.0,2015.0,U,-17.799623,30.931145,ZWGE72FL,Harare,Harare,Zimbabwe,ZWE,ZWGE72FL00000003.tif,25.482142857142858,18.711193607938707
MW201500000004,2015,MW,0.04299941939837567,0.45073756155939043,0.5268518518518518,0.543769113149847,,,False,136.0,2015.0,R,-12.015707,34.627514,MWGE7AFL,Likoma,Northern Region,Malawi,MWI,MWGE7AFL00000004.tif,24.794117647058822,20.408191817005346
MZ201500000004,2015,MZ,-2.502094812316006,0.23123274480139802,0.3083333333333333,0.3182339449541284,0.357,0.40116279069767435,True,97.0,2015.0,R,-16.020028,37.190445,MZGE71FL,Ile,Zambezia,Mozambique,MOZ,MZGE71FL00000004.tif,18.046875,18.597174804638623
ZW201500000004,2015,ZW,0.6938682822379252,0.5068725559697316,0.596111111111111,0.6152522935779815,0.596,0.7485465116279069,False,137.0,2015.0,R,-17.005589,30.183795,ZWGE72FL,Makonde,Mashonaland West,Zimbabwe,ZWE,ZWGE72FL00000004.tif,20.56,19.60366761052084
AO201500000005,2015,AO,-4.678810198021234,0.04349921968485171,0.09671717171717173,0.09982276897414513,,,False,94.0,2015.0,R,-14.211038,13.546263,AOGE71FL,Bibala,Namibe,Angola,AGO,AOGE71FL00000005.tif,24.70212765957447,24.074083930936677
TZ201500000005,2015,TZ,1.1348675892346716,0.5449070895702878,0.4893939393939394,0.5051084236864053,,,False,93.0,2015.0,R,-6.692595,36.160461,TZGE7AFL,Mpwapwa,Dodoma,Tanzania,TZA,TZGE7AFL00000005.tif,24.4468085106383,24.23060274029903
MZ201500000005,2015,MZ,4.603036839855272,0.8440236591482946,0.8412037037037037,0.8682148318042813,0.374,0.4258720930232558,True,94.0,2015.0,U,-25.068526,33.666429,MZGE71FL,Cidade de Xai-Xai,Gaza,Mozambique,MOZ,MZGE71FL00000005.tif,29.527272727272727,19.054361360819385
SN201500000005,2015,SN,2.052106158898439,0.6240154705679479,0.5640499194847021,0.5821616141470548,0.514,0.6293604651162791,False,103.0,2015.0,U,14.7572398645,-17.4753707298,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000005.tif,25.82456140350877,20.470468979743146
ZW201500000005,2015,ZW,3.9580863271305784,0.7883991002028896,0.6555555555555556,0.676605504587156,0.699,0.8982558139534883,False,62.0,2015.0,U,-20.198491,28.610482,ZWGE72FL,Bulawayo,Bulawayo,Zimbabwe,ZWE,ZWGE72FL00000005.tif,32.26923076923077,20.814528949380893
MW201500000006,2015,MW,-0.3301746365794316,0.41855270107150655,0.46855555555555556,0.4836009174311926,,,False,181.0,2015.0,R,-11.355628,33.380949,MWGE7AFL,Mzimba,Northern Region,Malawi,MWI,MWGE7AFL00000006.tif,20.754716981132077,17.591562545046425
MZ201500000006,2015,MZ,-2.659808512783828,0.21763053059257687,0.26203703703703707,0.27045107033639143,0.314,0.3386627906976744,True,79.0,2015.0,R,-14.733879,34.475961,MZGE71FL,Tsangano,Tete,Mozambique,MOZ,MZGE71FL00000006.tif,20.54,18.432679497820924
TZ201500000006,2015,TZ,-2.630618925723523,0.22014802282491663,0.24583333333333332,0.25372706422018343,,,False,87.0,2015.0,R,-6.498862,36.189566,TZGE7AFL,Mpwapwa,Dodoma,Tanzania,TZA,TZGE7AFL00000006.tif,22.36111111111111,18.819674777481115
SN201500000006,2015,SN,1.2537190921580856,0.555157585227984,0.5347222222222222,0.5518922018348623,0.514,0.6293604651162791,False,54.0,2015.0,U,14.7234749991,-17.4516200984,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000006.tif,28.5,21.7378582836171
ZW201500000006,2015,ZW,2.5794429874742257,0.6694962910750524,0.7166666666666667,0.7396788990825688,0.702,0.9026162790697673,False,108.0,2015.0,U,-18.032502,31.082756,ZWGE72FL,Chitungwiza,Harare,Zimbabwe,ZWE,ZWGE72FL00000006.tif,20.683333333333334,15.484811220388622
TZ201500000007,2015,TZ,-0.27446097733370733,0.42335779489131853,0.40681818181818186,0.41988115095913264,,,False,95.0,2015.0,R,-5.67122,36.401884,TZGE7AFL,Kongwa,Dodoma,Tanzania,TZA,TZGE7AFL00000007.tif,19.727272727272727,18.952625680945115
MZ201500000007,2015,MZ,0.7350947033050649,0.5104281799184113,0.4808404558404558,0.4962802869912961,0.455,0.5436046511627907,True,123.0,2015.0,U,-19.123371,33.478197,MZGE71FL,Cidade de Chimoio,Manica,Mozambique,MOZ,MZGE71FL00000007.tif,21.39344262295082,17.196199859779668
SN201500000007,2015,SN,2.149632800875329,0.6324267770765244,0.5683574879227054,0.5866074990027922,0.514,0.6293604651162791,False,107.0,2015.0,U,14.7462532805,-17.4666389271,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000007.tif,25.087719298245613,16.052681909613362
ZW201500000007,2015,ZW,3.6439069817315834,0.7613023118869229,0.6975,0.7198967889908257,0.578,0.7223837209302325,False,107.0,2015.0,U,-18.193046,31.556956,ZWGE72FL,Marondera,Mashonaland East,Zimbabwe,ZWE,ZWGE72FL00000007.tif,23.16393442622951,17.308167944517653
MW201500000008,2015,MW,-1.38295917035131,0.32775398985224413,0.43205128205128207,0.445924488355681,,,False,142.0,2015.0,R,-10.316705,34.093615,MWGE7AFL,Karonga,Northern Region,Malawi,MWI,MWGE7AFL00000008.tif,17.158730158730158,15.469226839330284
ZW201500000008,2015,ZW,2.2200471834852435,0.6384997530627632,0.6107407407407408,0.6303516819571866,0.588,0.7369186046511627,False,86.0,2015.0,R,-20.226941,31.639746,ZWGE72FL,Bikita,Masvingo,Zimbabwe,ZWE,ZWGE72FL00000008.tif,24.0,21.011901389450696
MZ201500000008,2015,MZ,1.5544568864023973,0.5810950902504733,0.5737037037037037,0.5921253822629969,0.325,0.3546511627906977,True,128.0,2015.0,U,-13.293672,35.250588,MZGE71FL,Cidade de Lichinga,Niassa,Mozambique,MOZ,MZGE71FL00000008.tif,17.0,13.574485871172678
SN201500000008,2015,SN,-0.5762267797932811,0.3973316280220084,0.2898148148148148,0.2991207951070336,0.514,0.6293604651162791,False,132.0,2015.0,U,14.7740979425,-17.3654738246,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000008.tif,27.98181818181818,19.82281785579708
MW201500000009,2015,MW,-0.4539700533437279,0.4078758114170037,0.4566666666666667,0.47133027522935783,,,False,151.0,2015.0,R,-15.812706,35.534457,MWGE7AFL,Phalombe,Southern Region,Malawi,MWI,MWGE7AFL00000009.tif,19.873417721518987,17.23396102259721
MZ201500000009,2015,MZ,-1.4513271346724645,0.3218575097559755,0.3655555555555555,0.3772935779816513,,,True,111.0,2015.0,R,-11.794797,39.895091,MZGE71FL,Muidumbe,Cabo Delgado,Mozambique,MOZ,MZGE71FL00000009.tif,21.12727272727273,21.75456916285127
SN201500000009,2015,SN,-0.15421949073260946,0.43372817141969716,0.48161375661375666,0.49707841852337264,0.514,0.6293604651162791,False,127.0,2015.0,U,14.7577837102,-17.360082771,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000009.tif,25.905405405405407,19.27463299859832
ZW201500000009,2015,ZW,2.705971117517403,0.6804088669843344,0.6206349206349207,0.6405635648754915,0.535,0.6598837209302326,False,96.0,2015.0,U,-17.318771,31.35396,ZWGE72FL,Bindura,Mashonaland Central,Zimbabwe,ZWE,ZWGE72FL00000009.tif,26.22,20.570724194290076
MW201500000010,2015,MW,-1.0568743635315354,0.35587757949250887,0.44919590643274854,0.46361962819893765,,,False,173.0,2015.0,R,-15.280661,34.63048,MWGE7AFL,Neno,Southern Region,Malawi,MWI,MWGE7AFL00000010.tif,22.47787610619469,20.41231129959702
TZ201500000010,2015,TZ,-0.21447336671881592,0.42853150096148707,0.3121031746031746,0.3221248361730013,,,False,76.0,2015.0,R,-6.243803,36.220815,TZGE7AFL,Chamwino,Dodoma,Tanzania,TZA,TZGE7AFL00000010.tif,26.314285714285713,23.864533651143375
MZ201500000010,2015,MZ,4.029806868502151,0.7945847274756945,0.7498366013071895,0.7739139233675121,,,True,116.0,2015.0,U,-25.893951,32.604075,MZGE71FL,Cidade de Maputo,Maputo,Mozambique,MOZ,MZGE71FL00000010.tif,27.069444444444443,19.16887617393148
SN201500000010,2015,SN,-1.1032865819083764,0.3518747000064798,0.36075268817204303,0.3723364900858242,0.514,0.6293604651162791,False,177.0,2015.0,U,14.7861886971,-17.3164170467,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000010.tif,23.810526315789474,17.99248941230645
ZW201500000010,2015,ZW,4.757762891541695,0.8573681998729178,0.7688034188034187,0.7934897671136202,0.702,0.9026162790697673,False,126.0,2015.0,U,-17.904931,31.064722,ZWGE72FL,Harare,Harare,Zimbabwe,ZWE,ZWGE72FL00000010.tif,22.347826086956523,15.068301445083243
MW201500000011,2015,MW,-1.3700873912855591,0.328864132443418,0.43160774410774416,0.44546670836808455,,,False,113.0,2015.0,R,-16.061744,34.955838,MWGE7AFL,Thyolo,Southern Region,Malawi,MWI,MWGE7AFL00000011.tif,23.82758620689655,21.473065896226046
MZ201500000011,2015,MZ,0.69360421376026,0.5068497810555146,0.5097222222222223,0.5260894495412844,0.325,0.3546511627906977,True,128.0,2015.0,U,-13.322094,35.259374,MZGE71FL,Cidade de Lichinga,Niassa,Mozambique,MOZ,MZGE71FL00000011.tif,16.47761194029851,14.832762885478381
SN201500000011,2015,SN,0.18904474577798844,0.4633334223357217,0.44605263157894737,0.4603754225012071,0.514,0.6293604651162791,False,148.0,2015.0,U,14.7675693154,-17.3912465375,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000011.tif,23.77922077922078,19.047463829397188
TZ201500000011,2015,TZ,0.5210608851262911,0.49196856712533277,0.4197222222222222,0.43319954128440363,,,False,89.0,2015.0,U,-6.404046,35.908923,TZGE7AFL,Chamwino,Dodoma,Tanzania,TZA,TZGE7AFL00000011.tif,28.818181818181817,22.676976057864593
ZW201500000011,2015,ZW,4.4586693298158275,0.8315725037285325,0.7507936507936508,0.7749017038007863,0.702,0.9026162790697673,False,58.0,2015.0,U,-17.791131,31.036274,ZWGE72FL,Harare,Harare,Zimbabwe,ZWE,ZWGE72FL00000011.tif,26.575757575757574,15.664510651130918
AO201500000012,2015,AO,-0.30710174860912437,0.42054265098490856,0.545138888888889,0.5626433486238532,,,False,126.0,2015.0,R,-14.236392,12.415434,AOGE71FL,Namibe,Namibe,Angola,AGO,AOGE71FL00000012.tif,21.295081967213115,22.690191906265785
MW201500000012,2015,MW,-1.9275365884401816,0.2807862332644585,0.3826851851851852,0.394973241590214,,,False,155.0,2015.0,R,-16.396556,34.819166,MWGE7AFL,Chikwawa,Southern Region,Malawi,MWI,MWGE7AFL00000012.tif,24.417721518987342,24.584030461182028
MZ201500000012,2015,MZ,-3.179850724926037,0.17277884335040988,0.26583333333333337,0.27436926605504586,0.314,0.3386627906976744,True,133.0,2015.0,R,-15.695713,34.098944,MZGE71FL,Moatize,Tete,Mozambique,MOZ,MZGE71FL00000012.tif,18.48051948051948,19.535130561180768
TZ201500000012,2015,TZ,-1.46097121445567,0.32102574410296625,0.2814814814814815,0.290519877675841,,,False,83.0,2015.0,R,-6.494254,35.946378,TZGE7AFL,Chamwino,Dodoma,Tanzania,TZA,TZGE7AFL00000012.tif,28.17948717948718,22.972376770089255
ZW201500000012,2015,ZW,1.329516787846404,0.5616948517446485,0.5755555555555556,0.5940366972477065,0.562,0.6991279069767442,False,107.0,2015.0,R,-19.847012,32.875476,ZWGE72FL,Chimanimani,Manicaland,Zimbabwe,ZWE,ZWGE72FL00000012.tif,21.257575757575758,18.280978433721003
SN201500000012,2015,SN,-1.148524822786167,0.34797307166966,0.41673280423280423,0.4301141328090869,0.514,0.6293604651162791,False,157.0,2015.0,U,14.7448844945,-17.3487604659,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000012.tif,28.276315789473685,22.579990365637467
MW201500000013,2015,MW,0.539008626557599,0.49351649240252193,0.5455555555555556,0.5630733944954128,,,False,129.0,2015.0,R,-13.750505,34.118594,MWGE7AFL,Dowa,Central Region,Malawi,MWI,MWGE7AFL00000013.tif,28.318840579710145,21.35656170940774
ZW201500000013,2015,ZW,2.973850667695674,0.703512471889166,0.7125,0.7353784403669724,0.562,0.6991279069767442,False,119.0,2015.0,R,-19.117081,32.330874,ZWGE72FL,Mutare,Manicaland,Zimbabwe,ZWE,ZWGE72FL00000013.tif,25.07547169811321,21.76345654161137
MZ201500000013,2015,MZ,4.187590962544699,0.8081930128659001,0.6990740740740741,0.7215214067278287,0.357,0.40116279069767435,True,115.0,2015.0,U,-17.859965,36.906955,MZGE71FL,Cidade de Quelimane,Zambezia,Mozambique,MOZ,MZGE71FL00000013.tif,26.7,21.571560059250018
SN201500000013,2015,SN,3.0312775466673187,0.7084653244745742,0.7194444444444444,0.7425458715596329,0.514,0.6293604651162791,False,95.0,2015.0,U,14.7403523242,-17.3079854789,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000013.tif,26.54,19.40672090608124
MW201500000014,2015,MW,0.410367957337952,0.4824217179250899,0.5569444444444445,0.5748279816513762,,,False,134.0,2015.0,R,-14.959841,34.878888,MWGE7AFL,Ntcheu,Central Region,Malawi,MWI,MWGE7AFL00000014.tif,24.264705882352942,20.411159990333953
TZ201500000014,2015,TZ,-0.33407732071239427,0.4182161092255955,0.3622222222222222,0.3738532110091743,,,False,97.0,2015.0,R,-6.249205,35.822029,TZGE7AFL,Dodoma Urban,Dodoma,Tanzania,TZA,TZGE7AFL00000014.tif,21.79591836734694,17.791593979363704
SN201500000014,2015,SN,-0.5468262328587401,0.39986731475102355,0.3732212475633528,0.38520541606309344,0.514,0.6293604651162791,False,167.0,2015.0,U,14.7870284399,-17.2777101656,SNGE7AFL,Rufisque,Dakar,Senegal,SEN,SNGE7AFL00000014.tif,22.09090909090909,19.145001971231785
ZW201500000014,2015,ZW,1.349037194117764,0.5633784134565267,0.6126984126984127,0.6323722149410222,0.586,0.7340116279069766,False,79.0,2015.0,U,-19.411278,29.818706,ZWGE72FL,Gweru,Midlands,Zimbabwe,ZWE,ZWGE72FL00000014.tif,24.225,20.343823481493192
SN201500000015,2015,SN,-0.2948210067879583,0.4216018188339872,0.43719667943805873,0.4512351049246019,0.514,0.6293604651162791,False,187.0,2015.0,R,14.71940778,-17.12471162,SNGE7AFL,Rufisque,Dakar,Senegal,SEN,SNGE7AFL00000015.tif,24.30701754385965,19.393515563030203
ZW201500000015,2015,ZW,-0.13594172478849353,0.4353045600713685,0.5201754385964912,0.5368783196523418,0.586,0.7340116279069766,False,128.0,2015.0,R,-20.547394,29.979106,ZWGE72FL,Mberengwa,Midlands,Zimbabwe,ZWE,ZWGE72FL00000015.tif,23.666666666666668,19.229513606651285
MZ201500000015,2015,MZ,2.671937968480241,0.6774736357264853,0.6547222222222222,0.6757454128440367,0.325,0.3546511627906977,True,134.0,2015.0,U,-14.806791,36.525284,MZGE71FL,Cuamba,Niassa,Mozambique,MOZ,MZGE71FL00000015.tif,22.433333333333334,16.093336516272466
TZ201500000015,2015,TZ,1.779969188919776,0.6005446791984653,0.4005952380952381,0.41345838794233286,,,False,90.0,2015.0,U,-6.212701,35.757304,TZGE7AFL,Dodoma Urban,Dodoma,Tanzania,TZA,TZGE7AFL00000015.tif,19.74468085106383,16.811574797696334
MZ201500000016,2015,MZ,-0.7135384785559408,0.38548900981948964,0.34764309764309764,0.35880594940227967,0.414,0.4840116279069767,True,92.0,2015.0,R,-19.942405,34.424131,MZGE71FL,Buzi,Sofala,Mozambique,MOZ,MZGE71FL00000016.tif,25.589285714285715,22.26842590323331
SN201500000016,2015,SN,-0.37192437545032997,0.4149519429281126,0.4158831908831909,0.4292372382968713,0.514,0.6293604651162791,False,172.0,2015.0,R,14.7573059545,-17.2613788926,SNGE7AFL,Rufisque,Dakar,Senegal,SEN,SNGE7AFL00000016.tif,19.73469387755102,16.864866805864484
TZ201500000016,2015,TZ,-0.7466063339412831,0.3826370315129536,0.3759259259259259,0.3879969418960244,,,False,96.0,2015.0,U,-6.075857,35.520361,TZGE7AFL,Dodoma Urban,Dodoma,Tanzania,TZA,TZGE7AFL00000016.tif,27.833333333333332,23.372817927801925
ZW201500000016,2015,ZW,2.926639649985116,0.6994406989613189,0.6968253968253968,0.7192005242463957,0.586,0.7340116279069766,False,119.0,2015.0,U,-19.467029,29.762825,ZWGE72FL,Gweru,Midlands,Zimbabwe,ZWE,ZWGE72FL00000016.tif,23.661538461538463,18.46557347731594
MW201500000017,2015,MW,-2.8715206584397865,0.1993711533331545,0.3200396825396825,0.33031618610747043,,,False,174.0,2015.0,R,-12.162986,33.986695,MWGE7AFL,Nkhata Bay,Northern Region,Malawi,MWI,MWGE7AFL00000017.tif,17.945652173913043,18.86060149043461
MZ201500000017,2015,MZ,-4.325311260402243,0.07398717512449521,0.09675925925925924,0.0998662079510703,0.357,0.40116279069767435,True,82.0,2015.0,R,-17.485719,37.625697,MZGE71FL,Maganja da Costa,Zambezia,Mozambique,MOZ,MZGE71FL00000017.tif,18.862745098039216,15.820264988732822
SN201500000017,2015,SN,-2.2974681646791533,0.248881024473571,0.24512273901808787,0.2529936526562833,0.514,0.6293604651162791,False,303.0,2015.0,R,14.8520432537,-17.187853684,SNGE7AFL,Rufisque,Dakar,Senegal,SEN,SNGE7AFL00000017.tif,23.53846153846154,19.659483344172635
TZ201500000017,2015,TZ,1.7221520850222156,0.5955581711790892,0.47407407407407404,0.48929663608562685,,,False,91.0,2015.0,R,-5.65481,35.666554,TZGE7AFL,Bahi,Dodoma,Tanzania,TZA,TZGE7AFL00000017.tif,21.15686274509804,17.96037031803031
ZW201500000017,2015,ZW,1.2569656643905152,0.5554375898871793,0.611574074074074,0.6312117737003057,0.535,0.6598837209302326,False,122.0,2015.0,R,-16.477588,30.47242,ZWGE72FL,Guruve,Mashonaland Central,Zimbabwe,ZWE,ZWGE72FL00000017.tif,23.533333333333335,22.825621766098923
MW201500000018,2015,MW,-0.1612638462724197,0.433120622216734,0.5433862433862433,0.5608344255133245,,,False,186.0,2015.0,R,-11.488252,33.536393,MWGE7AFL,Mzimba,Northern Region,Malawi,MWI,MWGE7AFL00000018.tif,26.86868686868687,22.56855608514411
MZ201500000018,2015,MZ,-1.6588876942085238,0.3039561912038293,0.34444444444444444,0.3555045871559633,0.403,0.46802325581395354,True,125.0,2015.0,R,-24.138875,35.14255,MZGE71FL,Jangamo,Inhambane,Mozambique,MOZ,MZGE71FL00000018.tif,21.380281690140844,19.717552874230833
SN201500000018,2015,SN,-3.344382784828013,0.15858857125377684,0.17295751633986928,0.17851119805720453,0.514,0.6293604651162791,False,116.0,2015.0,R,14.8037246386,-17.2721666088,SNGE7AFL,Rufisque,Dakar,Senegal,SEN,SNGE7AFL00000018.tif,22.806451612903224,17.722671143155594
TZ201500000018,2015,TZ,-0.30471797140071116,0.4207482428143994,0.38833333333333336,0.400802752293578,,,False,86.0,2015.0,R,-6.125279,35.403209,TZGE7AFL,Bahi,Dodoma,Tanzania,TZA,TZGE7AFL00000018.tif,27.511111111111113,24.527000170704476
AO201500000018,2015,AO,-1.8427106475448018,0.288102152015342,0.3564102564102564,0.3678546224417784,,,False,122.0,2015.0,U,-9.553536,16.389127,AOGE71FL,Malanje,Malanje,Angola,AGO,AOGE71FL00000018.tif,15.966666666666667,13.528333940624009
ZW201500000018,2015,ZW,3.6740872633101636,0.7639052477998884,0.7077777777777778,0.7305045871559633,0.699,0.8982558139534883,False,90.0,2015.0,U,-20.158344,28.547046,ZWGE72FL,Bulawayo,Bulawayo,Zimbabwe,ZWE,ZWGE72FL00000018.tif,24.52173913043478,17.638013405942644
AO201500000019,2015,AO,-1.3812812251931799,0.3278987063188786,0.41379629629629633,0.4270833333333333,,,False,140.0,2015.0,R,-13.705202,14.597441,AOGE71FL,Caluquembe,Huila,Angola,AGO,AOGE71FL00000019.tif,21.043478260869566,19.196686894456164
MW201500000019,2015,MW,-0.545339738090379,0.39999551934072985,0.5458061002178649,0.5633319841698147,,,False,160.0,2015.0,R,-15.90638,35.804088,MWGE7AFL,Phalombe,Southern Region,Malawi,MWI,MWGE7AFL00000019.tif,21.964285714285715,21.330698749037804
ZW201500000019,2015,ZW,1.6894711166150447,0.5927395604210672,0.5867845117845117,0.6056262162913538,,,False,95.0,2015.0,R,-19.827714,27.692634,ZWGE72FL,Tsholotsho,Matabeleland North,Zimbabwe,ZWE,ZWGE72FL00000019.tif,28.76086956521739,23.340174980405397
MZ201500000019,2015,MZ,2.653986135668237,0.6759253575830805,0.6023148148148149,0.6216551987767585,,,True,89.0,2015.0,U,-25.845864,32.580825,MZGE71FL,Cidade de Maputo,Maputo,Mozambique,MOZ,MZGE71FL00000019.tif,22.384615384615383,17.246942151426744
SN201500000019,2015,SN,1.3482602853229735,0.5633114079914586,0.5404761904761904,0.5578309305373524,0.514,0.6293604651162791,False,155.0,2015.0,U,14.717024354,-17.281594848,SNGE7AFL,Rufisque,Dakar,Senegal,SEN,SNGE7AFL00000019.tif,27.202247191011235,20.69320253746104
MW201500000020,2015,MW,0.38378337863850437,0.4801288978780774,0.5138888888888888,0.5303899082568806,,,False,134.0,2015.0,R,-15.417892,34.799549,MWGE7AFL,Neno,Southern Region,Malawi,MWI,MWGE7AFL00000020.tif,25.803030303030305,23.200941424512997
MZ201500000020,2015,MZ,-2.5719767143300976,0.22520569326626863,0.24528619528619527,0.25316235752015565,,,True,110.0,2015.0,R,-13.102908,40.227938,MZGE71FL,Pemba,Cabo Delgado,Mozambique,MOZ,MZGE71FL00000020.tif,19.912280701754387,19.955558393012765
TZ201500000020,2015,TZ,1.172935186831038,0.5481902768608341,0.48611111111111105,0.5017201834862385,,,False,103.0,2015.0,R,-5.218571,36.162738,TZGE7AFL,Chemba,Dodoma,Tanzania,TZA,TZGE7AFL00000020.tif,27.75,23.890263306440634
ZW201500000020,2015,ZW,1.3904980903471686,0.5669542600071384,0.5761111111111111,0.5946100917431192,0.562,0.6991279069767442,False,126.0,2015.0,R,-19.654627,31.963391,ZWGE72FL,Buhera,Manicaland,Zimbabwe,ZWE,ZWGE72FL00000020.tif,23.071428571428573,20.898874131363918
SN201500000020,2015,SN,1.6403087262018377,0.5884994889280102,0.5837962962962963,0.6025420489296636,0.514,0.6293604651162791,False,154.0,2015.0,U,14.7884804164,-17.3663619695,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000020.tif,26.28735632183908,18.522712673638356
MW201500000021,2015,MW,-0.7738553953979224,0.38028690232428386,0.4388888888888889,0.45298165137614677,,,False,145.0,2015.0,R,-15.720948,35.330362,MWGE7AFL,Mulanje,Southern Region,Malawi,MWI,MWGE7AFL00000021.tif,21.695652173913043,20.254487046684165
